DeveloperID,DevName
1,FuRyu
2,Nintendo
3,Disney Interactive Studios
4,Namco Bandai Games
5,Bandai Namco Games
6,CyberConnect2
7,Atari
8,Radical Entertainment
9,Eutechnyx
10,Activision
11,Treyarch
12,Vicarious Visions
13,Electronic Arts
14,Black Ops Entertainment
15,ECI
16,Kaga Create
17,Anchor Bay Entertainment
18,Ubisoft
19,Genius Sonority Inc.
20,Easy Interactive
21,Avanquest Software
22,Nordcurrent
23,5pb
24,CyberFront
25,Happinet
26,DTP Entertainment
27,Related Designs
28,Acclaim Studios Cheltenham
29,Rondomedia
30,ValuSoft
31,Ubisoft Paris
32,Capcom
33,THQ
34,Sega
35,Software Creations
36,EA Sports
37,EA Canada
38,SCE Studio Cambridge
39,10TACLE Studios
40,Fusionsphere Systems
41,Sony Interactive Studios America
42,Deep Silver
43,Collision Studios
44,Tiger Electronics
45,Silicon Studio
46,Psygnosis
47,Avalon Interactive
48,989 Studios
49,Playrix Entertainment
50,GT Interactive
51,Spike
52,Terminal Reality
53,Swordfish Studios
54,1C
55,1C Company
56,Genuine Games
57,Cerasus Media
58,The Fun Pimps Entertainment LLC
59,MumboJumbo
60,Hot Lava Games
61,Mumbo Jumbo
62,Idea Factory
63,Magical Company
64,ChunSoft
65,WayForward
66,Sony Computer Entertainment
67,Gray Matter
68,Cyanide
69,Pack-In-Video
70,ArtDink
71,Autumn Moon
72,Banpresto
73,505 Games
74,Marvelous Interactive
75,Asgard
76,Quinrose
77,Harmonix Music Systems
78,Ubisoft Vancouver
79,Namco
80,Project Aces
81,Paradox Interactive
82,Eugen Systems
83,Vingt-et-un Systems
84,Gang of Five
85,N/A
86,h.a.n.d. Inc.
87,TOSE
88,Aspyr
89,Contraband Entertainment
90,Digital Eclipse
91,Gremlin Interactive Ltd
92,Konami
93,Treasure
94,Intelligent Systems
95,GlyphX Games
96,NOW Production
97,D3Publisher
98,Little Orbit
99,HAL Laboratory
100,Mattel Interactive
101,Zushi Games
102,Ino-Co
103,Acquire
104,Sega AM2
105,ASCII Entertainment
106,Paradigm Entertainment
107,Rhino Studios
108,Various
109,Ackkstudios
110,Aqua Pacific
111,AWE Games
112,Oberon Media
113,Artefacts Studio
114,Dreamcatcher
115,Microids
116,Funcom
117,Ensemble Studios
118,Microsoft Game Studios
119,Big Huge Games
120,Gas Powered Games
121,Griptonite Games
122,Backbone Entertainment
123,Sarbakan Inc.
124,Activision Blizzard
125,Behaviour Interactive
126,Virgin Interactive
127,Tecmo Koei
128,H2O Interactive
129,Prototype
130,Cowboy Rodeo
131,Games Farm
132,Men-A-Vision
133,Sonic Powered
134,Criterion Games
135,WideScreen Games
136,KCE Studios
137,Spellbound
138,Kalypso
139,Data Age
140,Unknown
141,Miracle Positive
142,dramatic create
143,Alchemist
144,GN Software
145,Nippon Ichi Software
146,Taito
147,LTI Gray Matter
148,FreeStyleGames
149,Remedy Entertainment
150,Altron
151,Z-Axis
152,Milestone S.r.l
153,Etranges Libellules
154,Spicy Horse
155,20th Century Fox Video Games
156,Mastertronic
157,The Behemoth
158,Destineer
159,Argonaut Games
160,Totally Games
161,Probe Entertainment
162,Creative Assembly
163,Revistronic
164,Engine Software
165,ITT Family Games
166,Zono Inc.
167,Rebellion
168,Gearbox Software
169,Gorilla Games
170,SquareSoft
171,Traveller's Tales
172,Visual Concepts
173,Acclaim Entertainment
174,Acclaim Studios Austin
175,Acclaim
176,Eden Studios
177,Hydravision
178,Infogrames
179,Darkworks
180,Storm City Games
181,Obsidian Entertainment
182,Outrage Games
183,Alawar Entertainment  Inc
184,3d6 Games
185,Matrix Software
186,Sensory Sweep
187,ImaginEngine
188,Enterbrain
189,Black Lantern Studios
190,Hitmaker
191,Victor Interactive
192,Starfish
193,Creat Studios
194,Webfoot Technologies
195,Hothouse Creations
196,Mobius Entertainment
197,Secret Level
198,Red Storm Entertainment
199,Neopica
200,Arts Software
201,Indies Zero
202,Mud Duck Productions
203,Alawar Entertainment Inc
204,Alawar Entertainment
205,Inti Creates
206,Vir2L Studios
207,Alfa System
208,Dreams
209,Otomate
210,Indie Built
211,2K Sports
212,Hokus-Pokus
213,PlatinumGames
214,AM3
215,AM5
216,On Demand
217,Tamsoft
218,Amaze Entertainment
219,Exient Entertainment
220,Vivendi Games
221,Walt Disney Japan
222,Ambrella
223,The Pokemon Company
224,In2Games
225,Big Blue Bubble Inc.
226,Success
227,Empire Interactive
228,SilverBirch Studios
229,Armature Studio
230,comcept
231,ASC Games
232,Warthog
233,SingleTrac
234,Sunflowers Interactive
235,Art Co. Ltd.
236,Blue Byte
237,Cing
238,Kouyousha
239,Supersonic Software
240,Data Design Interactive
241,Netchubiyori
242,Gaijin Entertainment
243,RTL
244,Artech Digital Entertainments Inc.
245,SCEI
246,SCE Japan Studio
247,Shift
248,Zed Two Limited
249,Neko Entertainment
250,Lucky Chicken
251,TDK Mediactive
252,Examu
253,Mercury Games
254,Gust
255,Cattle Call
256,Hamster Corporation
257,Midway Games
258,Zoo Games
259,Comfort
260,Arc System Works
261,Nordic Games
262,Ignition Entertainment
263,Crave Entertainment
264,Awesome Studios
265,Atomic Planet Entertainment
266,Inland Productions
267,Midway Studios Austin
268,Midway Studios - Austin
269,EA Tiburon
270,Taito Corporation
271,Bohemia Interactive
272,Planet Moon Studios
273,APh Technological Consulting
274,From Software
275,Agetec
276,3DO
277,The 3DO Company
278,Team 17
279,Pandemic Studios
280,Tactical Development
281,Big Blue Entertainment
282,EA Montreal
283,Artificial Mind and Movement
284,EA Redwood Shores
285,Visceral Games
286,Polygon Magic
287,PlayV
288,Saffire
289,Omega Force
290,Headstrong Games
291,Artificial Studios
292,Immersion Software & Graphics
293,SNK
294,SNK Playmore
295,Étranges Libellules
296,The Learning Company
297,Arkane Studios
298,Mistwalker
299,Ascaron Entertainment GmbH
300,Ascaron Entertainment
301,Gameloft
302,Virtuos
303,Ubisoft Montreal
304,Climax Studios
305,Asmik Ace Entertainment Inc
306,Ubisoft Quebec
307,Ubisoft Sofia
308,Aspect
309,Takara Tomy
310,Atari SA
311,Bomb
312,Electronic Arts Victor
313,Dracue
314,Candle Light Studios
315,Kunos Simulazioni
316,Etranges Libellulles
317,Syrox Developments
318,Sonnori
319,Sonic Team
320,High Voltage Software
321,Art
322,Stainless Games
323,Eurocom Entertainment Software
324,Avanquest
325,Imagic
326,Slightly Mad Studios
327,Midas Interactive Entertainment
328,Panic Button
329,Transmission Games
330,Spike Chunsoft
