GameID,Name,Year,GenreID,PublisherID,RatingID
1, Beyblade Burst,2016,1,1,A
2, Fire Emblem Fates,2015,1,2,
3, Frozen: Olaf's Quest,2013,2,3,E
4, Frozen: Olaf's Quest,2013,2,3,E
5, Haikyu!! Cross Team Match!,2016,3,4,
6, Tales of Xillia 2,2012,1,4,M
7,.hack//G.U. Vol.1//Rebirth,2006,1,4,
8,.hack//G.U. Vol.2//Reminisce,2006,1,4,
9,.hack//G.U. Vol.2//Reminisce (jp sales),2006,1,4,
10,.hack//G.U. Vol.3//Redemption,2007,1,4,
11,.hack//Infection Part 1,2002,1,5,M
12,.hack//Link,2010,1,4,
13,.hack//Mutation Part 2,2002,1,5,M
14,.hack//Outbreak Part 3,2002,1,5,M
15,.hack//Quarantine Part 4: The Final Chapter,2003,1,5,
16,.hack: Sekai no Mukou ni + Versus,2012,4,4,
17,[Prototype 2],2012,4,6,M
18,[Prototype 2],2012,4,6,M
19,[Prototype 2],2012,4,6,M
20,[Prototype],2009,4,6,M
21,[Prototype],2009,4,6,M
22,007 Racing,2000,5,7,M
23,007: Quantum of Solace,2008,4,6,
24,007: Quantum of Solace,2008,4,6,M
25,007: Quantum of Solace,2008,4,6,M
26,007: Quantum of Solace,2008,4,6,M
27,007: Quantum of Solace,2008,4,6,M
28,007: Quantum of Solace,2008,4,6,M
29,007: The World is not Enough,2000,4,7,
30,007: The World is not Enough,2000,4,7,M
31,007: Tomorrow Never Dies,1999,6,7,
32,1 vs. 100,2008,7,8,E
33,1/2 Summer +,2013,3,9,
34,10 Minute Solution,2010,8,6,E
35,100 All-Time Favorites,2009,9,10,E
36,100 Classic Books,2008,7,2,
37,100 Classic Games,2011,7,11,
38,1000 Cooking Recipes from ELLE à table,2010,7,2,
39,1001 Touch Games,2011,4,12,E
40,101-in-1 Explosive Megamix,2008,9,13,E
41,101-in-1 Party Megamix Wii,2009,7,13,
42,101-in-1 Sports Megamix,2010,8,13,E10+
43,101-in-1 Sports Party Megamix,2010,8,13,E10+
44,1080°: TenEighty Snowboarding,1998,8,2,
45,11eyes: CrossOver,2010,3,14,
46,11eyes: CrossOver,2009,3,14,
47,12Riven: The Psi-Climinal of Integral,2008,3,15,
48,12-Sai. Honto no Kimochi,2014,3,16,
49,12-Sai. Koisuru Diary,2016,3,16,
50,15 Days,2009,3,17,
51,1701 A.D.,2006,10,18,E10+
52,18 Wheeler: American Pro Trucker,2002,5,19,E
53,18 Wheeler: American Pro Trucker,2001,5,19,E
54,18 Wheels of Steel: Extreme Trucker,2009,5,11,E
55,18 Wheels of Steel: Extreme Trucker 2,2011,5,11,E
56,187: Ride or Die,2005,5,10,M
57,187: Ride or Die,2005,5,10,M
58,1942,1985,6,20,
59,2 Games in 1 Double Pack: Hot Wheels Velocity X / Hot Wheels World Race,2005,5,21,
60,2 Games in 1 Double Pack: The Incredibles / Finding Nemo: The Continuing Adventures,2007,4,21,
61,2 Games in 1: Disney Princess & The Lion King,2004,7,21,
62,2 Games in 1: Disney's Brother Bear / The Lion King 1 1/2,2005,4,21,
63,2 Games in 1: Sonic Advance & ChuChu Rocket!,2005,7,21,
64,2 Games in 1: Sonic Battle & ChuChu Rocket!,2005,7,21,
65,2 Games in 1: Sonic Pinball Party & Columns Crown,2005,7,22,
66,2 Games in 1: SpongeBob SquarePants: SuperSponge & Rugrats Go Wild,2005,2,21,
67,2 in 1 Combo Pack: Sonic Heroes / Super Monkey Ball Deluxe,2013,7,10,
68,2 in 1 Combo Pack: Sonic Heroes / Super Monkey Ball Deluxe,2004,7,22,
69,2002 FIFA World Cup,2002,8,7,E
70,2002 FIFA World Cup,2002,8,7,E
71,2002 FIFA World Cup,2002,8,7,E
72,2010 FIFA World Cup South Africa,2010,8,7,E
73,2010 FIFA World Cup South Africa,2010,8,7,E
74,2010 FIFA World Cup South Africa,2010,8,7,E
75,2010 FIFA World Cup South Africa,2010,8,7,E
76,2014 FIFA World Cup Brazil,2014,8,7,E
77,2014 FIFA World Cup Brazil,2014,8,7,E
78,24: The Game,2006,3,23,M
79,Secret Files: Tunguska,2008,3,24,M
80,Secret Files: Tunguska,2008,3,18,M
81,2-in-1 Game Pack: Spider-Man & Spider-Man 2,2005,2,6,
82,2Xtreme,1996,8,23,E
83,"3 in 1: Solitaire, Mahjong & Tangram",2010,7,18,
84,300: March to Glory,2007,4,25,M
85,3D Baseball,1996,8,26,
86,3D Dot Game Heroes,2009,1,27,E10+
87,3D Lemmings,1995,9,28,
88,3D Tank Warfare Simulator Panzer Front,1999,10,29,
89,3DS Classic Collection,2016,7,22,
90,3rd Super Robot Wars Z Jigoku Hen,2014,1,4,
91,3rd Super Robot Wars Z Jigoku Hen,2014,1,4,
92,3rd Super Robot Wars Z: Tengoku-Hen,2015,4,4,
93,3rd Super Robot Wars Z: Tengoku-Hen,2015,4,4,
94,3Xtreme,1999,4,30,E
95,4 Elements,2009,9,31,E
96,4 Game Fun Pack: Monopoly / Boggle / Yahtzee / Battleship,2005,7,5,
97,4 Nin uchi Mahjong,1984,7,2,
98,4 Play Collection - Dark Mysteries,2014,7,32,
99,40 Winks,1999,2,33,
100,428: Fuusa Sareta Shibuya de,2009,3,34,
101,428: Fuusa Sareta Shibuya de,2009,3,34,
102,428: Fuusa Sareta Shibuya de,2008,3,22,
103,4x4 EVO 2,2002,5,35,E
104,4x4 EVO 2,2001,5,36,E
105,4x4 Evolution,2001,5,36,E
106,50 Cent: Blood on the Sand,2009,6,21,M
107,50 Cent: Blood on the Sand,2009,6,21,M
108,IL-2 Sturmovik,2001,10,37,M
109,50 Cent: Bulletproof,2005,4,35,M
110,50 Cent: Bulletproof,2005,4,35,M
111,50 Classic Games,2012,7,32,E
112,50 Classic Games,2009,7,38,E
113,64 de Hakken! Tamagotchi Minna de Tamagotchi World,1997,7,4,
114,7 Days to Die,2016,4,39,M
115,7 Days to Die,2016,4,39,M
116,7 Roses: A Darkness Rises,2015,7,32,
117,7 Wonders II,2009,9,11,E
118,7 Wonders of the Ancient World,2007,9,40,E
119,7 Wonders of the Ancient World,2007,9,41,E
120,7 Wonders: Treasures of Seven,2011,9,12,E
121,7'scarlet,2016,3,42,
122,7th Dragon,2009,1,22,
123,7th Dragon 2020,2011,1,22,B
124,7th Dragon 2020-II,2013,1,22,
125,7th Dragon III Code: VFD,2015,1,22,M
126,'98 Koshien,1998,8,43,
127,99 no Namida,2008,3,4,
128,"999: Nine Hours, Nine Persons, Nine Doors",2009,3,44,
129,A Boy and His Blob,2009,2,45,E
130,A Bug's Life,1998,2,23,E
131,A Bug's Life,1998,2,6,E
132,A Collection of Activision Classic Games for the Atari 2600,1998,7,6,E
133,A Collection of Classic Games from the Intellivision,1999,7,6,
134,A Game of Thrones: Genesis,2011,11,46,
135,A Good Librarian Like a Good Shepherd: Library Party,2015,4,9,
136,A llI S.V.: A Ressha de Gyoukou 3 Super Version,1995,10,47,
137,A New Beginning,2010,3,18,12+
138,A Ressha de Gyoukou 2001,2001,10,48,
139,A Ressha de Ikou DS,2009,10,48,
140,A Vampyre Story,2008,3,49,M
141,IL-2 Sturmovik: Forgotten Battles,2003,10,10,M
142,A. IV Evolution: A Ressha de Ikou 4,1994,11,48,
143,A.C.E.: Another Century's Episode,2005,10,50,
144,A.C.E.: Another Century's Episode 2,2006,10,50,
145,A.C.E.: Another Century's Episode 3: The Final,2007,10,50,
146,A.C.E.: Another Century's Episode Portable,2011,10,4,
147,A.C.E.: Another Century's Episode R,2010,10,4,
148,¡Shin Chan Flipa en colores!,2007,2,51,
149,Aa Megami-samaa,2007,3,52,
150,ABBA: You Can Dance,2011,7,10,E10+
151,Abunai: Koi no Sousa Shitsu,2015,4,53,
152,Abunai: Koi no Sousa Shitsu,2012,4,54,
153,AC/DC LIVE: Rock Band Track Pack,2008,7,55,M
154,AC/DC LIVE: Rock Band Track Pack,2008,7,55,M
155,AC/DC LIVE: Rock Band Track Pack,2008,7,55,M
156,AC/DC LIVE: Rock Band Track Pack,2008,7,55,M
