GameID,Critic_Score,Critic_Count,Consumer_Score,Consumer_Count
1,,,,
2,,,,
3,,,28,1
4,,,28,1
5,,,,
6,71,59,7.9,216
7,,,,
8,,,,
9,,,,
10,,,,
11,75,35,8.5,60
12,,,,
13,76,24,8.9,81
14,70,23,8.7,19
15,,,,
16,,,,
17,74,69,7,173
18,79,39,6.8,179
19,76,12,6.4,389
20,78,83,7.8,356
21,79,53,7.7,308
22,51,16,4.6,14
23,,,,
24,65,69,7.1,71
25,54,11,7.5,26
26,65,42,6.6,47
27,70,18,6.3,55
28,65,10,,
29,,,,
30,61,11,6.7,44
31,,,,
32,38,5,3.2,5
33,,,,
34,,,,
35,,,6.2,6
36,70,7,6,12
37,,,,
38,,,,
39,,,,
40,46,13,,
41,,,,
42,,,,
43,41,7,,
44,,,,
45,,,,
46,,,,
47,,,,
48,,,,
49,,,,
50,63,6,5.8,8
51,79,30,8.3,38
52,52,17,6.8,8
53,61,11,5.7,18
54,,,60.01,6
55,,,8.3,10
56,51,40,6.9,8
57,52,33,6.8,12
58,,,,
59,,,,
60,,,,
61,,,,
62,,,,
63,,,,
64,,,,
65,,,,
66,,,,
67,,,,
68,,,,
69,79,17,9,4
70,73,19,5.6,18
71,78,9,7.7,6
72,83,61,8.1,58
73,70,19,6.7,11
74,69,11,7.4,9
75,82,56,7.8,57
76,74,29,4.4,93
77,73,33,4.3,87
78,62,53,8.2,40
79,65,12,7.6,8
80,71,6,7.6,5
81,,,,
82,,,,
83,,,,
84,55,31,7.1,14
85,,,,
86,77,66,8,96
87,,,,
88,,,,
89,,,,
90,,,,
91,,,,
92,,,,
93,,,,
94,,,76.65,10
95,,,7.4,19
96,,,,
97,,,,
98,,,,
99,,,,
100,,,,
101,,,,
102,,,,
103,56,7,,
104,59,15,6.2,5
105,64,11,,
106,71,54,6.4,64
107,72,37,7.2,57
108,91,12,8.8,130
109,50,14,5.9,21
110,47,21,6.6,129
111,,,,
112,,,,
113,,,,
114,35,17,5.2,74
115,45,16,5.9,140
116,,,,
117,60,5,,
118,51,10,,
119,60,7,8.3,48
120,,,70,1
121,,,,
122,,,,
123,,,,
124,,,,
125,77,26,8.2,38
126,,,,
127,,,,
128,,,,
129,80,43,8.7,35
130,,,71.46,43
131,,,71.46,43
132,,,,
133,,,,
134,53,40,4,110
135,,,,
136,,,,
137,,,63.05,20
138,,,,
139,,,,
140,75,33,8.5,25
141,86,12,8.6,38
142,,,,
143,,,,
144,,,,
145,,,,
146,,,,
147,,,,
148,,,,
149,,,,
150,66,5,,
151,,,,
152,,,,
153,63,16,4.9,10
154,,,7.2,5
155,60,12,5.3,14
156,,,,
157,64,20,6.8,14
158,,,,
159,,,,
160,,,,
161,,,,
162,,,,
163,,,90.79,33
164,78,51,8.4,79
165,89,22,9.1,95
166,83,10,8.2,22
167,,,81.47,21
168,84,57,9.1,81
169,80,54,7.9,101
170,75,26,8.3,30
171,75,45,8.4,55
172,78,71,6.2,82
173,77,28,6.7,82
174,71,37,7.8,26
175,71,30,7.2,12
176,70,6,8.3,20
177,71,37,7.1,93
178,51,8,,
179,,,,
180,,,,
181,,,,
182,,,,
183,56,13,,
184,,,,
185,69,6,8.1,14
186,79,13,,
187,75,13,7.7,6
188,75,10,,
189,,,,
190,70,1,,
191,,,,
192,50,32,,
193,65,25,,
194,92,28,9,95
195,89,34,9.4,97
196,86,55,8.7,96
197,90,49,9,163
198,68,50,7.5,68
199,,,,
200,,,,
201,,,,
202,,,,
203,,,,
204,,,,
205,,,,
206,,,,
207,,,,
208,,,,
209,,,,
210,,,,
