PublisherID,PubName
1,FuRyu
2,Nintendo
3,Disney Interactive Studios
4,Namco Bandai Games
5,Atari
6,Activision
7,Electronic Arts
8,DSI Games
9,Kaga Create
10,Ubisoft
11,Rondomedia
12,Avanquest
13,Nordcurrent
14,5pb
15,CyberFront
16,Happinet
17,DTP Entertainment
18,Deep Silver
19,Acclaim Entertainment
20,Capcom
21,THQ
22,Sega
23,Sony Computer Entertainment
24,Koch Media
25,Warner Bros. Interactive Entertainment
26,BMG Interactive Entertainment
27,SouthPeak Games
28,Psygnosis
29,Avalon Interactive
30,989 Studios
31,Mastertronic
32,Avanquest Software
33,GT Interactive
34,Spike
35,Vivendi Games
36,Gathering of Developers
37,Blue Byte
38,Destineer
39,Telltale Games
40,Mumbo Jumbo
41,Funsta
42,Idea Factory
43,Magical Company
44,ChunSoft
45,Majesco Entertainment
46,Focus Home Interactive
47,Pack-In-Video
48,ArtDink
49,Crimson Cow
50,Banpresto
51,505 Games
52,Marvelous Interactive
53,Asgard
54,Quinrose
55,MTV Games
56,Sony Computer Entertainment Europe
57,Mamba Games
58,Take-Two Interactive
59,CPG Products
60,N/A
61,Gremlin Interactive Ltd
62,Konami Digital Entertainment
63,Hudson Soft
64,D3Publisher
65,Little Orbit
66,HAL Laboratory
67,Mattel Interactive
68,Zushi Games
69,Unknown
70,PQube
71,ASCII Entertainment
72,Video System
73,Paradox Interactive
74,Ascaron Entertainment GmbH
75,Ackkstudios
76,DreamCatcher Interactive
77,The Adventure Company
78,Big Fish Games
79,JoWood Productions
80,Microids
81,Funcom
82,Microsoft Game Studios
83,Virgin Interactive
84,Tecmo Koei
85,Prototype
86,Graffiti
87,bitComposer Games
88,Men-A-Vision
89,Ertain
90,Playlogic Game Factory
91,Interplay
92,Kalypso Media
93,Data Age
94,Cygames
95,dramatic create
96,Alchemist
97,GN Software
98,Acquire
99,Nippon Ichi Software
100,Taito
101,Eidos Interactive
102,Nordic Games
103,Black Bean Games
104,20th Century Fox Video Games
105,Zoo Digital Publishing
106,O3 Entertainment
107,Fox Interactive
108,ITT Family Games
109,SquareSoft
110,Infogrames
111,Licensed 4U
112,Brash Entertainment
113,Kadokawa Games
114,Kadokawa Shoten
115,Enterbrain
116,PopCap Games
117,Victor Interactive
118,Starfish
119,Codemasters
120,Crave Entertainment
121,Mud Duck Productions
122,Alawar Entertainment
123,Bethesda Softworks
124,Conspiracy Entertainment
125,On Demand
126,Mad Catz
127,Valcon Games
128,Natsume
129,Empire Interactive
130,ASC Games
131,Ignition Entertainment
132,Lexicon Entertainment
133,Touchstone
134,Metro 3D
135,Success
136,Just Flight
137,RTL
138,3DO
139,Neko Entertainment
140,Midway Games
141,TDK Mediactive
142,Aqua Plus
143,Mercury Games
144,GameTek
145,Hamster Corporation
146,Zoo Games
147,Comfort
148,AQ Interactive
149,Arc System Works
150,Mindscape
151,Square Enix
152,Bohemia Interactive
153,LucasArts
154,From Software
155,Indie Games
156,Agetec
157,Hasbro Interactive
158,Global Star
159,Midas Interactive Entertainment
160,PlayV
161,Hip Interactive
162,SNK
163,The Learning Company
164,Sammy Corporation
165,Bomb
166,Electronic Arts Victor
167,Rising Star Games
168,Telstar
169,Gust
170,Imagic
171,Screenlife
172,Storm City Games
173,Liquid Games
174,Titus
175,Vir2L Studios
176,Yacht Club Games
177,Inti Creates
178,Marvelous Entertainment
179,Human Entertainment
180,Jaleco
181,"Destination Software, Inc"
182,CTO SpA
183,BAM! Entertainment
184,UFO Interactive
185,Genki
186,Universal Interactive
187,Knowledge Adventure
188,Griffin International
189,XS Games
190,Seta Corporation
191,Kemco
192,Scholastic Inc.
193,Big Ben Interactive
194,Popcorn Arcade
195,TopWare Interactive
196,Rebellion Developments
197,Aspyr
198,Accolade
199,GameMill Entertainment
200,ASK
201,Imagineer
202,Xplosiv
203,Gotham Games
204,Game Factory
205,Rocket Company
206,Angel Studios
207,Pony Canyon
208,NEC Interchannel
209,SunSoft
210,Sting
211,Crystal Dynamics
212,Pow
213,NEC
214,Hudson Entertainment
215,Daedalic Entertainment
216,10TACLE Studios
217,New
218,JVC
219,Coconuts Japan
220,Falcom Corporation
221,Sears
222,Laguna
223,Atlus
224,Revolution Software
225,EON Digital Entertainment
226,FunSoft
227,Astragon
228,Enix Corporation
229,Micro Cabin
230,Activision Value
231,Cave
232,Moss
233,Virtual Play Games
234,Reef Entertainment
235,Stainless Games
236,Coleco
237,FuRyu Corporation
238,Nobilis
239,TDK Core
240,Blast! Entertainment Ltd
241,Play It
242,Foreign Media Games
243,CDV Software Entertainment
244,Oxygen Interactive
245,O-Games
246,Sony Online Entertainment
247,Epoch
248,Phoenix Games
249,City Interactive
250,Takara
251,Compile Heart
252,IE Institute
253,Paradox Development
254,Monte Christo Multimedia
255,Interchannel
256,Level 5
257,Agatsuma Entertainment
258,Quintet
259,Axela
260,Westwood Studios
261,SCi
262,Office Create
263,UEP Systems
264,Xseed Games
265,Global A Entertainment
266,Mentor Interactive
267,Strategy First
268,Funbox Media
269,Phenomedia
270,Vic Tokai
271,Summitsoft
272,LSP Games
273,Easy Interactive
274,Mystique
275,Sweets
276,Yuke's
277,Kool Kizz
278,Paon Corporation
279,Paon
280,Daito
281,Ghostlight
282,Destination Software Inc
283,Focus Multimedia
284,Phantom EFX
285,Ubisoft Annecy
286,Navarre Corp
287,Mastiff
288,Maximum Family Games
289,Trion Worlds
290,NovaLogic
291,Experience Inc.
292,ASCII Media Works
293,Rage Software
294,Daedalic
295,Asmik Corp
296,Media Factory
297,Interplay Productions
298,Imadio
299,BushiRoad
300,Havas Interactive
301,NDA Productions
302,Views
303,Excalibur Publishing
304,PM Studios
305,Asylum Entertainment
306,SNK Playmore
307,GungHo
308,Irem Software Engineering
309,Tru Blu Entertainment
310,Pinnacle
311,id Software
312,NewKidCo
313,Shogakukan
314,Data East
315,CokeM Interactive
316,Flight-Plan
317,Nitroplus
318,Tivola
319,BPS
320,Gearbox Software
321,Game Life
322,DigiCube
323,New World Computing
324,Swing! Entertainment
325,Quelle
326,SCS Software
327,CCP
328,Red Flagship
329,Aksys Games
330,Ocean
331,ValuSoft
332,Ivolgamus
333,Piacci
334,Idea Factory International
335,Graphsim Entertainment
336,Abylight
337,UIG Entertainment
338,MTO
339,Wanadoo
340,Type-Moon
341,Aerosoft
342,System 3 Arcade Software
343,KID
344,Princess Soft
345,Square EA
346,Square
347,Starpath Corp.
348,Culture Brain
349,Parker Bros.
350,Jester Interactive
351,Benesse
